health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
11003,2015,residence,5291,53,81,87,2,10.01701001701,15.3090153090153,16.4430164430164,37.8000378000378
11004,2000,occurrence,9862,230,312,359,2,23.3218414114784,31.6365848712229,36.4023524640032,20.2798620969377
11004,2000,residence,9934,229,308,355,1,23.0521441513992,31.0046305617073,35.7358566539159,10.0664384940608
11004,2005,occurrence,9317,209,291,341,10,22.4321133412043,31.233229580337,36.5997638724912,107.330685843083
11004,2005,residence,9365,161,220,259,9,17.1916711158569,23.4917245061399,27.6561665776829,96.1025093432995
11004,2010,occurrence,10199,223,322,369,12,21.8648887145799,31.5717227179135,36.1800176487891,117.658593979802
11004,2010,residence,9867,143,208,248,7,14.4927536231884,21.0803689064559,25.1342860038512,70.9435492044188
11004,2015,occurrence,11349,198,296,322,10,17.4464710547185,26.0815930919024,28.3725438364614,88.1134901753459
11004,2015,residence,10763,108,149,168,5,10.0343770324259,13.8437238688098,15.6090309393292,46.455449224194
11005,2000,occurrence,2962,38,52,59,0,12.829169480081,17.5557056043214,19.9189736664416,0
11005,2000,residence,3099,42,60,70,0,13.5527589545015,19.3610842207164,22.5879315908358,0
11005,2005,occurrence,2118,11,19,23,0,5.19357884796978,8.97072710103872,10.8593012275732,0
11005,2005,residence,2294,26,39,44,0,11.333914559721,17.0008718395815,19.180470793374,0
11005,2010,occurrence,2077,9,11,12,2,4.33317284545017,5.29610014443909,5.77756379393356,96.2927298988926
11005,2010,residence,2174,24,36,40,2,11.0395584176633,16.5593376264949,18.3992640294388,91.9963201471941
11005,2015,occurrence,1716,8,10,10,1,4.66200466200466,5.82750582750583,5.82750582750583,58.2750582750583
11005,2015,residence,2038,24,34,36,3,11.7762512266928,16.6830225711482,17.6643768400393,147.20314033366
11006,2000,occurrence,2445,21,34,40,0,8.58895705521472,13.9059304703477,16.359918200409,0
11006,2000,residence,2369,22,37,45,0,9.28661882650908,15.618404390038,18.9953566905867,0
11006,2005,occurrence,2366,18,26,32,1,7.60777683854607,10.989010989011,13.5249366018597,42.2654268808115
11006,2005,residence,2327,20,28,35,1,8.59475719810915,12.0326600773528,15.040825096691,42.9737859905458
11006,2010,occurrence,2208,24,28,35,1,10.8695652173913,12.6811594202899,15.8514492753623,45.2898550724638
11006,2010,residence,2201,36,45,51,0,16.356201726488,20.44525215811,23.1712857791913,0
11006,2015,occurrence,2503,7,11,14,0,2.7966440271674,4.39472632840591,5.5932880543348,0
11006,2015,residence,2466,21,30,33,1,8.51581508515815,12.1654501216545,13.38199513382,40.551500405515
11007,2000,occurrence,530,3,9,14,2,5.66037735849057,16.9811320754717,26.4150943396226,377.358490566038
11007,2000,residence,666,5,15,20,2,7.50750750750751,22.5225225225225,30.03003003003,300.3003003003
11007,2005,occurrence,766,15,21,23,0,19.5822454308094,27.4151436031332,30.0261096605744,0
11007,2005,residence,899,17,27,29,0,18.9098998887653,30.0333704115684,32.258064516129,0
11007,2010,occurrence,627,1,2,2,0,1.59489633173844,3.18979266347687,3.18979266347687,0
